noise,poly_name,family,sweep_parameter,sweep_value,degree,q,epsilon,n_samples,seed,target,emp_naive_mean,emp_naive_var,emp_naive_mse,emp_naive_bias,sym_naive_mean,sym_naive_var,sym_naive_mse,sym_naive_bias,err_naive_var_rel,err_naive_mse_rel,emp_unbiased_mean,emp_unbiased_var,emp_unbiased_mse,emp_unbiased_bias,sym_unbiased_mean,sym_unbiased_var,sym_unbiased_mse,sym_unbiased_bias,err_unbiased_var_rel,err_unbiased_mse_rel,emp_var_ratio_unbiased_over_naive,emp_mse_ratio_unbiased_over_naive,sym_var_ratio_unbiased_over_naive,sym_mse_ratio_unbiased_over_naive
laplace,quadratic,baseline,fixed,nan,2,-10.0,10.0,20000,1337,100.0,100.03321790000636,7.886707415698333,7.887810844579166,0.033217900006363266,100.02,8.002,8.0024,0.02,0.01440797104494722,0.014319348623017349,100.01321790000637,7.886707415698333,7.886882128578912,0.013217900006367245,100.0,8.002,8.002,0.0,0.01440797104494722,0.014386137393287772,1.0,0.9998822593469148,1.0,0.9999500149955015
laplace,quadratic,baseline,fixed,nan,2,-5.0,0.1,20000,1337,25.0,222.94305071068345,202712.71231125077,241894.16363590304,197.94305071068345,224.99999999999997,219999.99999999997,259999.99999999994,199.99999999999997,0.07857858040340547,0.0696378321696035,22.9430507106835,202712.71231125077,202716.94335162963,-2.056949289316499,25.0,219999.99999999997,219999.99999999997,0.0,0.07857858040340547,0.0785593484016834,1.0,0.838039828264552,1.0,0.8461538461538463
laplace,quadratic,baseline,fixed,nan,2,-5.0,0.5,20000,1337,25.0,33.025650429917135,1063.5653826860525,1127.9764475092818,8.025650429917135,33.0,1120.0,1184.0,8.0,0.05038805117316737,0.04731718960364713,25.02565042991713,1063.5653826860525,1063.5660406306074,0.025650429917128292,25.0,1120.0,1120.0,0.0,0.05038805117316737,0.050387463722671964,1.0,0.9428973831670857,1.0,0.9459459459459459
laplace,quadratic,baseline,fixed,nan,2,-5.0,1.0,20000,1337,25.0,27.04014023294484,212.99356949704216,217.15574166712236,2.0401402329448395,27.0,220.0,224.0,2.0,0.031847411377081095,0.030554724700346623,25.04014023294484,212.99356949704216,212.99518073534298,0.04014023294483948,25.0,220.0,220.0,0.0,0.031847411377081095,0.0318400875666228,1.0,0.980840658875338,1.0,0.9821428571428571
laplace,quadratic,baseline,fixed,nan,2,-5.0,2.0,20000,1337,25.0,25.52689887096899,50.12068485256944,50.39830727279784,0.5268988709689886,25.5,51.25,51.5,0.5,0.0220354175108402,0.021392091790333266,25.02689887096899,50.12068485256944,50.121408401828845,0.026898870968988575,25.0,51.25,51.25,0.0,0.0220354175108402,0.02202129947651035,1.0,0.9945057902546174,1.0,0.9951456310679612
laplace,quadratic,baseline,fixed,nan,2,-5.0,5.0,20000,1337,25.0,25.092398449466774,7.897456796734796,7.90599427019866,0.09239844946677422,25.08,8.032,8.0384,0.08,0.016750896820866987,0.016471652294155516,25.012398449466772,7.897456796734796,7.897610518283976,0.012398449466772377,25.0,8.032,8.032,0.0,0.016750896820866987,0.016731758181775903,1.0,0.99893957020102,1.0,0.999203821656051
laplace,quadratic,baseline,fixed,nan,2,-5.0,7.0,20000,1337,25.0,25.049895341602685,4.025212968794785,4.027702513908434,0.04989534160268505,25.040816326530614,4.089962515618493,4.091628488129946,0.04081632653061224,0.015831330134798673,0.01562360180230575,25.009079015072068,4.0252129687947855,4.025295397309464,0.009079015072067875,25.0,4.089962515618493,4.089962515618493,0.0,0.015831330134798458,0.015811176279020074,1.0000000000000002,0.9994023598836664,1.0,0.9995928338762214
laplace,quadratic,baseline,fixed,nan,2,-5.0,10.0,20000,1337,25.0,25.026472374913247,1.9716434318109237,1.9723442184444713,0.026472374913247165,25.02,2.002,2.0024,0.02,0.015163120973564467,0.015009878923056783,25.00647237491325,1.9716434318109237,1.9716853234479415,0.006472374913251144,25.0,2.002,2.002,0.0,0.015163120973564467,0.015142196079949216,1.0,0.9996659330605844,1.0,0.999800239712345
laplace,quadratic,baseline,fixed,nan,2,-4.0,0.1,20000,1337,16.0,213.80814020882124,196182.10134907573,235310.16168194843,197.80814020882124,215.99999999999997,212799.99999999997,252799.99999999994,199.99999999999997,0.07809162899870414,0.06918448701760883,13.808140208821266,196182.10134907573,196186.9055984199,-2.191859791178734,16.0,212799.99999999997,212799.99999999997,0.0,0.07809162899870414,0.07806905263900414,1.0,0.8337374986108395,1.0,0.8417721518987342
laplace,quadratic,baseline,fixed,nan,2,-4.0,0.5,20000,1337,16.0,23.998668329544678,784.0724269036025,848.0511219496635,7.998668329544678,24.0,832.0,896.0,8.0,0.057605256125477775,0.053514372824036247,15.998668329544676,784.0724269036025,784.0724286769487,-0.0013316704553236747,16.0,832.0,832.0,0.0,0.057605256125477775,0.05760525399405207,1.0,0.92455797579086,1.0,0.9285714285714286
laplace,quadratic,baseline,fixed,nan,2,-4.0,1.0,20000,1337,16.0,18.02664918275862,142.54943938594695,146.65674629592309,2.0266491827586215,18.0,148.0,152.0,2.0,0.03682811225711517,0.03515298489524286,16.02664918275862,142.54943938594695,142.55014956488864,0.026649182758621492,16.0,148.0,148.0,0.0,0.03682811225711517,0.03682331375075242,1.0,0.9719985828490414,1.0,0.9736842105263158
