noise,poly_name,family,sweep_parameter,sweep_value,degree,q,epsilon,n_samples,seed,target,emp_naive_mean,emp_naive_var,emp_naive_mse,emp_naive_bias,sym_naive_mean,sym_naive_var,sym_naive_mse,sym_naive_bias,err_naive_var_rel,err_naive_mse_rel,emp_unbiased_mean,emp_unbiased_var,emp_unbiased_mse,emp_unbiased_bias,sym_unbiased_mean,sym_unbiased_var,sym_unbiased_mse,sym_unbiased_bias,err_unbiased_var_rel,err_unbiased_mse_rel,emp_var_ratio_unbiased_over_naive,emp_mse_ratio_unbiased_over_naive,sym_var_ratio_unbiased_over_naive,sym_mse_ratio_unbiased_over_naive
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,0.0,2.0,5000,1337,1.0,3.203170270360422,1090.7794084614243,1095.6333677016246,2.203170270360422,3.0,4073.5,4077.5,2.0,0.7322255042441576,0.7312977638990498,1.0749614547645532,477.574627219617,477.5802464393174,0.07496145476455318,1.0,2576.875,2576.875,0.0,0.8146690750542355,0.8146668944208325,0.4378287887678864,0.4358942147236406,0.6325948201792071,0.6319742489270386
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,0.0,5.0,5000,1337,1.0,1.1129790893673122,0.5902029653090507,0.6029672399433179,0.11297908936731216,1.1184,1.09282816,1.10684672,0.1184,0.45993067628395423,0.4552387163930721,0.994628516702904,0.3286428316034884,0.3286716844362994,-0.005371483297096025,1.0,0.69776896,0.69776896,0.0,0.5290090983647533,0.5289677482410519,0.5568301938832172,0.5450904504649312,0.6384983344499467,0.6304115532817407
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,1.0,0.1,5000,1337,6.0,2863266.9847358763,7215706644182176.0,7223904907648886.0,2863260.9847358763,1444005.9999999998,3.655238346804498e+16,3.655446860404498e+16,1443999.9999999998,0.8025927187350086,0.802379703945429,804528.1692659849,2891240423184196.5,2891887679105036.5,804522.1692659849,6.0,2.3209050014044984e+16,2.3209050014044988e+16,0.0,0.8754261625773326,0.875398274494001,0.40068707969375716,0.40032194721209846,0.634953122395833,0.6349169034692729
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,1.0,0.5,5000,1337,6.0,2511.5078853417604,1302537415.1342065,1308814984.8977163,2505.5078853417604,2470.0,4414204424.0,4420275720.0,2464.0,0.7049213652063054,0.7039064828069783,-36.1053670577663,591095001.6396186,591096774.5015539,-42.1053670577663,6.0,2806059656.0,2806059656.0,0.0,0.7893505220476258,0.7893498902499619,0.4538027044533806,0.45162745026773055,0.635688651106295,0.6348155259418976
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,1.0,1.0,5000,1337,6.0,175.78935963469948,2710122.8771543154,2738951.303799476,169.78935963469948,190.0,6633314.0,6667170.0,184.0,0.5914375714530753,0.5891883207118649,-6.471305162565175,1346592.2805950632,1346747.8140475207,-12.471305162565175,6.0,4230386.0,4230386.0,0.0,0.6816857183729657,0.6816489525902552,0.49687499114763856,0.4917019927222915,0.6377484919302779,0.6345099944954156
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,1.0,2.0,5000,1337,6.0,23.437434011988586,11638.3405672941,11942.404672216553,17.437434011988586,25.0,20534.0,20895.0,19.0,0.43321610171938735,0.4284563449525459,4.75694515611946,6499.464075653802,6501.009260998695,-1.2430548438805404,6.0,13299.125,13299.125,0.0,0.5112863383377627,0.5111701513446415,0.5584528170552513,0.5443635046234021,0.6476636310509399,0.6364740368509213
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,1.0,5.0,5000,1337,6.0,7.728559870299706,62.831303203115425,65.81922242832596,1.7285598702997058,7.8304,77.28329216,80.63365632000001,1.8304,0.187000172391266,0.18372519079231622,5.90901542315495,46.24632767006476,46.25460586328843,-0.09098457684504968,6.0,58.351784959999996,58.351784959999996,0.0,0.2074565036568033,0.20731463664743333,0.7360396062542863,0.7027522379751223,0.7550375162485831,0.7236653727871035
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,3.0,0.1,5000,1337,364.0,4776155.124336453,9030734526600166.0,9053542707463458.0,4775791.124336453,3907163.999999999,3.815169631072178e+16,3.816695939696178e+16,3906799.999999999,0.7632940235985717,0.7627910933826143,402490.8413971896,3844673328112120.0,3844835034108692.0,402126.8413971896,364.0,2.4232848204881784e+16,2.4232848204881788e+16,0.0,0.8413445544821431,0.8413378814738691,0.4257320727109823,0.42467740622012307,0.6351709241843494,0.6349169173484333
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,3.0,0.5,5000,1337,364.0,8391.54438921714,4429928448.49387,4494369917.4147215,8027.544389217141,9180.0,9527174728.0,9604896584.0,8816.0,0.5350218112958,0.5320751370814841,-276.9633710898582,2295017024.624178,2295427858.6672564,-640.9633710898581,364.0,6100951240.0,6100951240.0,0.0,0.623826361768435,0.6237590224262707,0.5180709014396068,0.5107340741519661,0.6403736064658854,0.6351917677242948
laplace,degree_5_leading_a_1,degree_5_leading,a,1.0,5,3.0,1.0,5000,1337,364.0,1336.9689029143067,27158879.498599224,28105547.9846375,972.9689029143067,1416.0,43251586.0,44358290.0,1052.0,0.372072055378519,0.3663969466668463,300.7231313762254,16026647.04974796,16030651.011850793,-63.27686862377459,364.0,28538290.0,28538290.0,0.0,0.4384160000564869,0.43827569865430643,0.5901070789969287,0.570373188262088,0.6598206595244854,0.6433586596778189
