noise,poly_name,degree,q,epsilon,n_samples,seed,target,emp_naive_mean,emp_naive_var,emp_naive_mse,emp_naive_bias,sym_naive_mean,sym_naive_var,sym_naive_mse,sym_naive_bias,err_naive_var_rel,err_naive_mse_rel,emp_unbiased_mean,emp_unbiased_var,emp_unbiased_mse,emp_unbiased_bias,sym_unbiased_mean,sym_unbiased_var,sym_unbiased_mse,sym_unbiased_bias,err_unbiased_var_rel,err_unbiased_mse_rel,emp_var_ratio_unbiased_over_naive,emp_mse_ratio_unbiased_over_naive,sym_var_ratio_unbiased_over_naive,sym_mse_ratio_unbiased_over_naive
laplace,fifth,5,0.0,2.0,20000,1337,0.0,2.0392141567537845,3217.2016152603564,3221.360009637461,2.0392141567537845,2.0,4047.5,4051.5,2.0,0.20513857559966486,0.20489694936752778,-0.016125433013984038,1877.2287568077747,1877.2290168373645,-0.016125433013984038,0.0,2567.375,2567.375,0.0,0.2688139610272069,0.2688138597449284,0.5834973934811535,0.582744248150219,0.6343113032736257,0.6336850549179316
laplace,fifth,5,1.0,0.2,20000,1337,4.0,98030.20804841151,29393182920883.0,29402792058347.355,98026.20804841151,91003.99999999999,36474277559799.98,36482558559799.98,90999.99999999999,0.19413940762246612,0.19405893613102548,246.77130736049637,17298086670626.65,17298086729564.557,242.77130736049637,4.0,23162980034799.99,23162980034799.99,0.0,0.2532011578545567,0.25320115531006954,0.5885067540044078,0.588314425896628,0.635049727765657,0.6349055808910071
laplace,fifth,5,1.0,0.5,20000,1337,4.0,2462.9565649274305,3417835929.661263,3423882397.0494623,2458.9565649274305,2468.0,4414100512.0,4420171808.0,2464.0,0.22570047501871135,0.22539608282813103,-47.54599329250355,1971984788.4549026,1971987445.4443274,-51.54599329250355,4.0,2806022944.0,2806022944.0,0.0,0.29723140978889206,0.29723046290090227,0.576968827362741,0.5759506947854551,0.6356952988205992,0.6348221439993402
laplace,fifth,5,1.0,1.0,20000,1337,4.0,184.15846488643876,5116590.538156442,5149047.61062668,180.15846488643876,188.0,6631096.0,6664952.0,184.0,0.2283944406540876,0.22744415704318954,0.14392353335683092,2961336.3876081035,2961351.2569338204,-3.8560764666431693,4.0,4229488.0,4229488.0,0.0,0.2998357277268304,0.2998322120942723,0.57877142318195,0.5751260195812018,0.6378263864676367,0.6345864156260991
laplace,fifth,5,1.0,2.0,20000,1337,4.0,22.612340691303647,17101.930708946904,17448.34993495606,18.612340691303647,23.0,20452.0,20813.0,19.0,0.1638015495332044,0.16166098424273007,3.7302604324620887,10465.729200551456,10465.80195998575,-0.2697395675379113,4.0,13254.625,13254.625,0.0,0.21040925710448574,0.21040376774252378,0.6119618526507239,0.5998161430163973,0.6480845394093487,0.6368435593138904
laplace,fifth,5,3.0,0.2,20000,1337,360.0,255749.689085432,33116669626523.37,33181893519814.527,255389.689085432,257059.99999999994,42903356745799.98,42969251635799.98,256699.99999999994,0.22811005621919486,0.22777585699982447,-5239.9166505028115,19083379678605.156,19083411037671.65,-5599.9166505028115,360.0,27281512800799.99,27281512800799.99,0.0,0.30050141214875864,0.3005002626866038,0.5762469443280355,0.5751151912495895,0.6358829441351512,0.6349077948118208
laplace,fifth,5,3.0,0.5,20000,1337,360.0,8976.670663901314,7498390598.2533045,7572637611.583442,8616.670663901314,9176.0,9526994720.0,9604716576.0,8816.0,0.21293221853981414,0.21157094520563585,195.10603820833487,4406335119.5412855,4406362309.559921,-164.89396179166513,360.0,6100872224.0,6100872224.0,0.0,0.2777532526894493,0.2777487959466038,0.5876374485703251,0.5818794633483787,0.6403774121121797,0.6351954454590248
laplace,fifth,5,3.0,1.0,20000,1337,360.0,1392.1371711999373,37606229.48082249,38671536.620995104,1032.1371711999373,1412.0,43243016.0,44349720.0,1052.0,0.1303513732524464,0.12803200063055406,346.96206925437156,23834967.308894653,23835137.296532776,-13.037930745628444,360.0,28533152.0,28533152.0,0.0,0.1646570519480409,0.16465109439949796,0.6338036978966325,0.6163483372830982,0.659832607420352,0.6433671283606751
laplace,fifth,5,3.0,2.0,20000,1337,360.0,547.1446051608137,736424.2608233563,771447.3640641532,187.14460516081374,551.0,776810.0,813291.0,191.0,0.05198921123137403,0.0514497712821694,356.91259219301475,546109.439986386,546118.9720733528,-3.0874078069852544,360.0,581089.625,581089.625,0.0,0.06019757281609358,0.060181169000646365,0.74156905066627,0.7079147554491324,0.7480460151130908,0.7144916456717214
laplace,degree_8,8,0.0,0.2,20000,1337,1.0,14416497183.326944,5.847233974312273e+23,5.8493123282223536e+23,14416497182.326944,15727544950.999992,3.190189812021423e+24,3.190437167691577e+24,15727544949.999992,0.8167120353692293,0.8166611025142179,34156107.96074766,1.6141995988081966e+23,1.614199610474593e+23,34156106.96074766,1.0,1.930639922693671e+24,1.9306399226936706e+24,0.0,0.9163904371895495,0.9163904365852734,0.2760620843803419,0.2759639971157361,0.6051802671485387,0.6051333473182218
laplace,degree_8,8,0.0,0.5,20000,1337,1.0,9378244.511727683,2.4931599598514397e+17,2.4940394743650925e+17,9378243.511727683,10230905.0,1.3653975382281956e+18,1.365502209624853e+18,10230904.0,0.8174040973380777,0.8173536844696659,24031.430895167447,6.865736757854534e+16,6.865736815600696e+16,24030.430895167447,1.0,8.263474179435052e+17,8.263474179435052e+17,0.0,0.9169146462036392,0.9169146455048272,0.2753829224123928,0.2752858118794814,0.6052064653755072,0.6051600737947755
laplace,degree_8,8,0.0,1.0,20000,1337,1.0,35708.37488664925,3707178804166.0464,3708453820787.342,35707.37488664925,38951.0,20577299353364.0,20578816455864.0,38950.0,0.8198413338648353,0.8197926577196034,115.27102325436212,1011957997102.2249,1011958010160.0918,114.27102325436212,1.0,12455365650932.0,12455365650932.0,0.0,0.9187532485626785,0.9187532475143056,0.2729725353319912,0.2728786872004902,0.6052964209268688,0.6052517975290461
laplace,degree_8,8,0.0,2.0,20000,1337,1.0,128.51507077954545,51125700.9937436,51141961.0870195,127.51507077954545,140.0,299075160.5,299094481.5,139.0,0.829054004657991,0.8290106830773489,1.6136944253189112,13476080.973036762,13476081.34965761,0.6136944253189112,1.0,181119367.25,181119367.25,0.0,0.9255955827493828,0.9255955806699762,0.26358721173692795,0.26350341408941425,0.6055981611685869,0.605559040546858
