epsilon,noise_scale,delta,x_min,x_max,u,v_upper
0.5,2,1,-15,15,8.2,-1428.706667
0.5,2,1,-15,15,8.3,-1433.481667
0.5,2,1,-15,15,8.4,-1438.26
0.5,2,1,-15,15,8.5,-1443.041667
0.5,2,1,-15,15,8.6,-1447.826667
0.5,2,1,-15,15,8.7,-1452.615
0.5,2,1,-15,15,8.8,-1457.406667
0.5,2,1,-15,15,8.9,-1462.201667
0.5,2,1,-15,15,9,-1467
0.5,2,1,-15,15,9.1,-1471.801667
0.5,2,1,-15,15,9.2,-1476.606667
0.5,2,1,-15,15,9.3,-1481.415
0.5,2,1,-15,15,9.4,-1486.226667
0.5,2,1,-15,15,9.5,-1491.041667
0.5,2,1,-15,15,9.6,-1495.86
0.5,2,1,-15,15,9.7,-1500.681667
0.5,2,1,-15,15,9.8,-1505.506667
0.5,2,1,-15,15,9.9,-1510.335
0.5,2,1,-15,15,10,-1515.166667
0.5,2,1,-15,15,10.1,-1520.001667
0.5,2,1,-15,15,10.2,-1524.84
0.5,2,1,-15,15,10.3,-1529.681667
0.5,2,1,-15,15,10.4,-1534.526667
0.5,2,1,-15,15,10.5,-1539.375
0.5,2,1,-15,15,10.6,-1544.226667
0.5,2,1,-15,15,10.7,-1549.081667
0.5,2,1,-15,15,10.8,-1553.94
0.5,2,1,-15,15,10.9,-1558.801667
0.5,2,1,-15,15,11,-1563.666667
0.5,2,1,-15,15,11.1,-1568.535
0.5,2,1,-15,15,11.2,-1573.406667
0.5,2,1,-15,15,11.3,-1578.281667
0.5,2,1,-15,15,11.4,-1583.16
0.5,2,1,-15,15,11.5,-1588.041667
0.5,2,1,-15,15,11.6,-1592.926667
0.5,2,1,-15,15,11.7,-1597.815
0.5,2,1,-15,15,11.8,-1602.706667
0.5,2,1,-15,15,11.9,-1607.601667
0.5,2,1,-15,15,12,-1612.5
